year_built,area,url,price,bedrooms,postal_code,rooms,address,property_type
1720,88,http://www.funda.nl/koop/amsterdam/appartement-49819661-oostenburgervoorstraat-246/,425.0,2,1018 MR,3,Oostenburgervoorstraat 246,apartment
1988,44,http://www.funda.nl/koop/amsterdam/appartement-49799824-s-gravesandestraat-10/,225.0,1,1091 AA,2,'s-Gravesandestraat 10,apartment
2006,109,http://www.funda.nl/koop/amsterdam/huis-49811399-peter-wotkehof-5/,410.0,2,1087 DG,4,Peter Wotkehof 5,house
2005,220,http://www.funda.nl/koop/amsterdam/huis-49886198-lisdoddelaan-50/,1.15,4,1087 KA,7,Lisdoddelaan 50,house
1974,85,http://www.funda.nl/koop/amsterdam/appartement-49725112-h-cleyndertweg-783/,215.0,2,1025 EC,3,H. Cleyndertweg 783,apartment
2004,125,http://www.funda.nl/koop/amsterdam/huis-49606141-kiekstraat-43/,340.0,5,1087 GK,6,Kiekstraat 43,house
1990,140,http://www.funda.nl/koop/amsterdam/huis-49887683-anton-holzelsingel-13/,349.0,3,1069 PN,5,Anton Hölzelsingel 13,house
1976,82,http://www.funda.nl/koop/amsterdam/appartement-49758399-leksmondhof-143/,175.0,2,1108 ET,3,Leksmondhof 143,apartment
2007,115,http://www.funda.nl/koop/amsterdam/appartement-49735182-fritz-dietrich-kahlenbergstraat-36-pp/,420.0,3,1087 MS,4,Fritz Dietrich Kahlenbergstraat 36 PP,apartment
1963,60,http://www.funda.nl/koop/amsterdam/appartement-49883878-langswater-642/,149.5,2,1069 EE,3,Langswater 642,apartment
1998,94,http://www.funda.nl/koop/amsterdam/appartement-49892463-valkenburgerstraat-81/,449.0,1,1011 MH,3,Valkenburgerstraat 81,apartment
2002,85,http://www.funda.nl/koop/amsterdam/appartement-49882781-zandvoortstraat-35/,240.0,2,1024 VT,3,Zandvoortstraat 35,apartment
1973,85,http://www.funda.nl/koop/amsterdam/appartement-49890947-h-cleyndertweg-589/,190.0,2,1025 DX,3,H. Cleyndertweg 589,apartment
2006,134,http://www.funda.nl/koop/amsterdam/appartement-49897462-maria-austriastraat-690/,450.0,3,1087 JC,5,Maria Austriastraat 690,apartment
2004,90,http://www.funda.nl/koop/amsterdam/appartement-49893925-lederambachtstraat-236/,195.0,3,1069 HM,4,Lederambachtstraat 236,apartment
1924,128,http://www.funda.nl/koop/amsterdam/appartement-49892503-singel-208-e/,1.15,2,1016 AA,3,Singel 208 -E,apartment
1965,76,http://www.funda.nl/koop/amsterdam/appartement-49893092-beemsterstraat-94/,175.0,3,1024 BG,4,Beemsterstraat 94,apartment
1992,91,http://www.funda.nl/koop/amsterdam/appartement-49806900-belgieplein-72/,250.0,2,1066 SC,3,Belgiëplein 72,apartment
1937,75,http://www.funda.nl/koop/amsterdam/appartement-49894441-bloys-van-treslongstraat-36-huis/,350.0,2,1056 XB,3,Bloys van Treslongstraat 36 huis,apartment
1994,95,http://www.funda.nl/koop/amsterdam/appartement-49800714-venetiehof-97/,419.0,2,1019 NC,3,Venetiëhof 97,apartment
1938,75,http://www.funda.nl/koop/amsterdam/appartement-49801926-nieuwe-leliestraat-4-i-ii/,650.0,2,1015 SP,4,Nieuwe Leliestraat 4 I/II,apartment
1905,41,http://www.funda.nl/koop/amsterdam/appartement-49816462-jacob-van-lennepkade-388-1/,265.0,1,1053 NM,2,Jacob van Lennepkade 388 -1,apartment
1991,103,http://www.funda.nl/koop/amsterdam/appartement-49810668-tidorestraat-209/,325.0,4,1095 KV,5,Tidorestraat 209,apartment
2016,128,http://www.funda.nl/koop/amsterdam/appartement-49816474-haparandaweg-946-b/,550.0,3,1013 BD,4,Haparandaweg 946 B,apartment
1962,81,http://www.funda.nl/koop/amsterdam/appartement-49803840-eastonstraat-64/,175.0,2,1068 JB,3,Eastonstraat 64,apartment
1968,242,http://www.funda.nl/koop/amsterdam/appartement-49807728-het-laagt-127/,350.0,2,1025 GE,5,Het Laagt 127,apartment
1910,50,http://www.funda.nl/koop/amsterdam/appartement-49809123-djambistraat-33-hs/,230.0,1,1094 AX,2,Djambistraat 33 hs,apartment
1910,52,http://www.funda.nl/koop/amsterdam/appartement-49816552-eerste-oosterparkstraat-27-iii-a/,295.0,1,1091 GT,3,Eerste Oosterparkstraat 27 III-A,apartment
2011,83,http://www.funda.nl/koop/amsterdam/appartement-49812805-statenjachtstraat-161/,235.0,2,1034 GA,3,Statenjachtstraat 161,apartment
1961,86,http://www.funda.nl/koop/amsterdam/appartement-49814919-van-nijenrodeweg-783/,295.0,2,1082 JJ,3,Van Nijenrodeweg 783,apartment
2005,170,http://www.funda.nl/koop/amsterdam/appartement-85135611-oeverpad-514/,489.0,3,1068 PM,4,Oeverpad 514,apartment
1990,130,http://www.funda.nl/koop/amsterdam/huis-49648651-houthalenstraat-83/,365.0,5,1066 LS,6,Houthalenstraat 83,house
1923,40,http://www.funda.nl/koop/amsterdam/appartement-49814518-bestevaerstraat-183-iv/,200.0,1,1055 TL,2,Bestevâerstraat 183 IV,apartment
1996,281,http://www.funda.nl/koop/amsterdam/huis-49583673-lange-stammerdijk-13-b/,735.0,3,1109 BK,6,Lange Stammerdijk 13 B,house
1976,115,http://www.funda.nl/koop/amsterdam/appartement-49825024-leusdenhof-203/,225.0,4,1108 DH,5,Leusdenhof 203,apartment
1923,125,http://www.funda.nl/koop/amsterdam/huis-49888000-lutkemeerweg-73/,795.0,4,1067 TJ,5,Lutkemeerweg 73,house
1957,84,http://www.funda.nl/koop/amsterdam/huis-49806724-cort-van-der-lindenkade-90/,265.0,3,1067 LL,5,Cort van der Lindenkade 90,house
1969,94,http://www.funda.nl/koop/amsterdam/huis-49892533-dorpsweg-ransdorp-27/,450.0,3,1028 BK,5,Dorpsweg Ransdorp 27,house
1999,215,http://www.funda.nl/koop/amsterdam/huis-49873348-osdorperweg-960/,750.0,5,1067 TE,9,Osdorperweg 960,house
1899,572,http://www.funda.nl/koop/amsterdam/huis-49875894-van-eeghenstraat-80/,11.75,6,1071 GK,16,Van Eeghenstraat 80,house
1700,164,http://www.funda.nl/koop/amsterdam/huis-49868059-langestraat-31/,975.0,2,1015 AK,5,Langestraat 31,house
1993,104,http://www.funda.nl/koop/amsterdam/huis-49774618-stenen-beer-4/,275.0,4,1035 JN,5,Stenen Beer 4,house
2007,100,http://www.funda.nl/koop/amsterdam/huis-49800633-boomgaardlaan-71/,324.011,3,1036 KJ,4,Boomgaardlaan 71,house
2007,139,http://www.funda.nl/koop/amsterdam/huis-49802067-osdorper-ban-529/,349.0,4,1069 GA,6,Osdorper Ban 529,house
1999,201,http://www.funda.nl/koop/amsterdam/huis-49804419-ertskade-3/,1.085,4,1019 BB,6,Ertskade 3,house
1950,106,http://www.funda.nl/koop/amsterdam/huis-49809983-nieuwendammerdijk-105/,500.0,3,1025 LE,5,Nieuwendammerdijk 105,house
1906,123,http://www.funda.nl/koop/amsterdam/appartement-49872485-singel-95-b/,899.0,3,1012 VG,4,Singel 95 -B,apartment
1929,156,http://www.funda.nl/koop/amsterdam/huis-49800805-lindengracht-233/,1.0,2,1015 KG,5,Lindengracht 233,house
1998,130,http://www.funda.nl/koop/amsterdam/appartement-49785984-ladogameerhof-3/,300.0,3,1060 PJ,4,Ladogameerhof 3,apartment
2001,152,http://www.funda.nl/koop/amsterdam/appartement-49706747-bogortuin-3/,649.0,2,1019 PE,3,Bogortuin 3,apartment
1977,58,http://www.funda.nl/koop/amsterdam/appartement-49783859-grootzeilhof-158/,150.0,1,1034 MC,2,Grootzeilhof 158,apartment
2001,110,http://www.funda.nl/koop/amsterdam/appartement-49756059-rietlandpark-207/,429.0,3,1019 DV,4,Rietlandpark 207,apartment
1906,28,http://www.funda.nl/koop/amsterdam/appartement-49704383-de-wittenkade-21-3v/,185.0,1,1052 AA,1,De Wittenkade 21 3V,apartment
1996,98,http://www.funda.nl/koop/amsterdam/appartement-49724473-bijlmerdreef-917/,199.0,4,1103 TD,5,Bijlmerdreef 917,apartment
1910,73,http://www.funda.nl/koop/amsterdam/appartement-49724330-marnixstraat-383-iii/,425.0,2,1016 XR,3,Marnixstraat 383 III,apartment
2010,135,http://www.funda.nl/koop/amsterdam/appartement-49769245-raoul-wallenbergstraat-169/,349.0,3,1102 AX,4,Raoul Wallenbergstraat 169,apartment
1998,158,http://www.funda.nl/koop/amsterdam/appartement-49826568-wisselstraat-16/,599.0,4,1019 TM,5,Wisselstraat 16,apartment
1993,106,http://www.funda.nl/koop/amsterdam/appartement-49738524-knsm-laan-545/,400.0,2,1019 LD,3,KNSM-laan 545,apartment
2000,97,http://www.funda.nl/koop/amsterdam/appartement-49825700-valkenburgerstraat-42-a/,625.0,2,1011 LZ,4,Valkenburgerstraat 42 A,apartment
2008,164,http://www.funda.nl/koop/amsterdam/huis-49879212-henri-berssenbruggehof-15/,670.0,4,1087 DA,5,Henri Berssenbruggehof 15,house
2007,147,http://www.funda.nl/koop/amsterdam/huis-49713458-jan-vrijmanstraat-29/,525.0,3,1087 MB,5,Jan Vrijmanstraat 29,house
1906,93,http://www.funda.nl/koop/amsterdam/appartement-49896752-prinsengracht-285-a/,625.0,2,1016 GW,3,Prinsengracht 285 A,apartment
2009,170,http://www.funda.nl/koop/amsterdam/huis-49728947-emmy-andriessestraat-374/,700.0,6,1087 LS,7,Emmy Andriessestraat 374,house
1905,121,http://www.funda.nl/koop/amsterdam/huis-49805292-nieuwendammerdijk-21/,550.0,3,1025 LC,5,Nieuwendammerdijk 21,house
2007,140,http://www.funda.nl/koop/amsterdam/huis-49801910-claus-van-amsbergstraat-86/,295.0,5,1102 AZ,6,Claus van Amsbergstraat 86,house
1987,106,http://www.funda.nl/koop/amsterdam/huis-49800159-breezandpad-8/,275.0,3,1024 DB,4,Breezandpad 8,house
1890,285,http://www.funda.nl/koop/amsterdam/huis-49826458-buiksloterdijk-270/,650.0,3,1034 ZD,8,Buiksloterdijk 270,house
1936,150,http://www.funda.nl/koop/amsterdam/huis-49814140-kadoelenweg-236/,635.0,3,1035 NP,6,Kadoelenweg 236,house
1989,109,http://www.funda.nl/koop/amsterdam/huis-49818887-markiespad-19/,290.0,3,1033 WR,4,Markiespad 19,house
2008,96,http://www.funda.nl/koop/amsterdam/appartement-49750450-johan-hofmanstraat-202/,248.0,2,1069 KE,3,Johan Hofmanstraat 202,apartment
2010,193,http://www.funda.nl/koop/amsterdam/appartement-49698887-ben-van-meerendonkstraat-299/,647.0,3,1087 LN,4,Ben van Meerendonkstraat 299 *,apartment
1983,50,http://www.funda.nl/koop/amsterdam/appartement-49799442-boorderstraat-40/,147.0,1,1033 MB,2,Boorderstraat 40,apartment
2000,134,http://www.funda.nl/koop/amsterdam/appartement-49737665-panamalaan-16/,525.0,2,1019 AZ,3,Panamalaan 16,apartment
1999,92,http://www.funda.nl/koop/amsterdam/appartement-49631792-chet-bakerstraat-185-pp/,269.0,2,1066 GJ,3,Chet Bakerstraat 185 +PP,apartment
