year_built,area,url,price,bedrooms,postal_code,rooms,address,property_type
2010,109,http://www.funda.nl/koop/amsterdam/appartement-85069863-visseringstraat-21-e/,650.0,2,1051 KH,3,Visseringstraat 21 E,apartment
1906,80,http://www.funda.nl/koop/amsterdam/appartement-49677799-groenmarktkade-1-bg/,350.0,2,1016 TA,3,Groenmarktkade 1 BG,apartment
1974,71,http://www.funda.nl/koop/amsterdam/appartement-49604249-fokkezeil-47/,185.0,2,1034 MV,3,Fokkezeil 47,apartment
1989,45,http://www.funda.nl/koop/amsterdam/appartement-49646080-van-houweningenstraat-56-iii/,250.0,1,1052 TP,2,Van Houweningenstraat 56 III,apartment
1984,85,http://www.funda.nl/koop/amsterdam/appartement-49633371-remmerdenplein-45/,164.0,2,1106 AG,3,Remmerdenplein 45,apartment
1984,66,http://www.funda.nl/koop/amsterdam/appartement-49646705-ravenswaaipad-14/,125.0,1,1106 AV,2,Ravenswaaipad 14,apartment
2006,85,http://www.funda.nl/koop/amsterdam/appartement-49632038-marskramerstraat-210/,214.0,2,1033 WG,3,Marskramerstraat 210,apartment
1906,85,http://www.funda.nl/koop/amsterdam/appartement-49648843-oudezijds-voorburgwal-187-c/,450.0,1,1012 EW,2,Oudezijds Voorburgwal 187 C,apartment
1983,104,http://www.funda.nl/koop/amsterdam/appartement-49762444-wamelstraat-34/,200.0,2,1106 DL,4,Wamelstraat 34,apartment
2005,126,http://www.funda.nl/koop/amsterdam/appartement-49760557-maria-austriastraat-680/,344.0,2,1087 JC,3,Maria Austriastraat 680,apartment
1926,30,http://www.funda.nl/koop/amsterdam/appartement-49771551-bankastraat-40-g/,175.0,1,1094 EG,2,Bankastraat 40 G,apartment
1963,71,http://www.funda.nl/koop/amsterdam/appartement-49819481-schierstins-9-huis/,325.0,2,1082 TC,3,Schierstins 9 huis,apartment
1887,149,http://www.funda.nl/koop/amsterdam/appartement-49819832-tweede-jan-van-der-heijdenstraat-14-boven/,799.0,3,1073 VH,4,Tweede Jan van der Heijdenstraat 14 boven,apartment
1960,75,http://www.funda.nl/koop/amsterdam/appartement-49810791-aalbersestraat-242-b/,175.0,2,1067 GM,3,Aalbersestraat 242 B,apartment
1979,57,http://www.funda.nl/koop/amsterdam/appartement-49819018-leerdamhof-272/,137.5,1,1108 BZ,2,Leerdamhof 272,apartment
2014,122,http://www.funda.nl/koop/amsterdam/appartement-49811975-valkenburgerstraat-138-ll/,450.0,2,1011 NA,3,Valkenburgerstraat 138 LL,apartment
1939,50,http://www.funda.nl/koop/amsterdam/appartement-85275393-heer-halewijnstraat-10-3/,215.0,1,1055 SP,2,Heer Halewijnstraat 10 3,apartment
1906,30,http://www.funda.nl/koop/amsterdam/appartement-49812955-eerste-sweelinckstraat-11-2/,179.0,1,1073 CK,1,Eerste Sweelinckstraat 11 2,apartment
1960,80,http://www.funda.nl/koop/amsterdam/appartement-49812363-sierplein-16/,225.0,3,1065 LM,4,Sierplein 16,apartment
1910,61,http://www.funda.nl/koop/amsterdam/appartement-49870372-eerste-helmersstraat-299-iv/,385.0,2,1054 EB,3,Eerste Helmersstraat 299 IV,apartment
1896,165,http://www.funda.nl/koop/amsterdam/appartement-49872842-oudezijds-voorburgwal-145-a/,895.0,2,1012 ES,3,Oudezijds Voorburgwal 145 A,apartment
1615,183,http://www.funda.nl/koop/amsterdam/appartement-49886453-herengracht-196-b/,1.65,2,1016 BS,3,Herengracht 196 B,apartment
1998,200,http://www.funda.nl/koop/amsterdam/appartement-49872191-schokkerspad-22/,900.0,4,1081 KR,5,Schokkerspad 22,apartment
1993,78,http://www.funda.nl/koop/amsterdam/appartement-85241379-hofmeyrstraat-2-h/,250.0,2,1091 LZ,3,Hofmeyrstraat 2 H,apartment
1996,86,http://www.funda.nl/koop/amsterdam/appartement-49886804-knsm-laan-387/,375.0,2,1019 LG,3,KNSM-laan 387,apartment
1896,44,http://www.funda.nl/koop/amsterdam/appartement-49887397-eerste-jan-van-der-heijdenstraat-49-iii/,235.0,1,1072 TK,2,Eerste Jan van der Heijdenstraat 49 III,apartment
1870,69,http://www.funda.nl/koop/amsterdam/appartement-49889795-keizersgracht-87-l/,500.0,1,1015 CG,2,Keizersgracht 87 L,apartment
2006,119,http://www.funda.nl/koop/amsterdam/appartement-49888972-pieter-calandlaan-1167/,295.0,3,1069 SE,4,Pieter Calandlaan 1167,apartment
1896,33,http://www.funda.nl/koop/amsterdam/appartement-49897532-eerste-jan-van-der-heijdenstraat-111-2-a/,177.5,1,1072 TN,1,Eerste Jan van der Heijdenstraat 111 -2 A,apartment
1750,157,http://www.funda.nl/koop/amsterdam/appartement-49880068-singel-116-ii/,925.0,3,1015 AE,4,Singel 116 -II,apartment
1966,111,http://www.funda.nl/koop/amsterdam/appartement-49898011-mensinge-37/,330.0,2,1083 HC,3,Mensinge 37,apartment
1910,50,http://www.funda.nl/koop/amsterdam/appartement-49892143-rustenburgerstraat-307-ii/,275.0,1,1073 GG,2,Rustenburgerstraat 307 II,apartment
1995,77,http://www.funda.nl/koop/amsterdam/appartement-49892570-cornelis-van-rijplantsoen-14/,245.0,2,1063 MC,3,Cornelis van Rijplantsoen 14,apartment
2000,101,http://www.funda.nl/koop/amsterdam/appartement-49892036-korte-meerhuizenstraat-5-huis/,499.0,3,1078 TK,4,Korte Meerhuizenstraat 5 huis,apartment
1998,72,http://www.funda.nl/koop/amsterdam/appartement-49893577-dinarpromenade-17/,212.5,1,1060 SH,2,Dinarpromenade 17,apartment
2007,84,http://www.funda.nl/koop/amsterdam/appartement-49893149-julius-pergerstraat-67/,239.0,2,1087 KN,3,Julius Pergerstraat 67,apartment
1931,117,http://www.funda.nl/koop/amsterdam/appartement-49892309-watteaustraat-12-i/,695.0,4,1077 ZL,6,Watteaustraat 12 I,apartment
1955,105,http://www.funda.nl/koop/amsterdam/appartement-49893102-evert-cornelisstraat-7-iii/,499.0,3,1077 KV,4,Evert Cornelisstraat 7 III,apartment
1968,84,http://www.funda.nl/koop/amsterdam/appartement-49894752-jisperveldstraat-469/,172.5,2,1024 AX,3,Jisperveldstraat 469,apartment
1998,80,http://www.funda.nl/koop/amsterdam/appartement-49894637-feike-de-boerlaan-320/,335.0,1,1019 MS,3,Feike de Boerlaan 320,apartment
1920,42,http://www.funda.nl/koop/amsterdam/appartement-85269252-transvaalkade-105-a/,200.0,1,1091 LR,2,Transvaalkade 105 a,apartment
1906,76,http://www.funda.nl/koop/amsterdam/appartement-49882885-de-wittenstraat-80-hs/,450.0,2,1052 BA,3,De Wittenstraat 80 hs,apartment
1911,263,http://www.funda.nl/koop/amsterdam/appartement-49882575-sophialaan-27-huis/,1.75,4,1075 BL,8,Sophialaan 27 -huis,apartment
1906,63,http://www.funda.nl/koop/amsterdam/appartement-49882872-de-wittenstraat-78-hs/,375.0,2,1052 BA,3,De Wittenstraat 78 hs,apartment
1930,60,http://www.funda.nl/koop/amsterdam/appartement-49882956-hoendiepstraat-42-hs/,325.0,2,1079 LW,4,Hoendiepstraat 42 hs,apartment
1900,43,http://www.funda.nl/koop/amsterdam/appartement-49883725-borgerstraat-226-i/,200.0,1,1053 RE,2,Borgerstraat 226 -I,apartment
2008,90,http://www.funda.nl/koop/amsterdam/appartement-49884136-jan-vrijmanstraat-261/,299.0,2,1087 MN,3,Jan Vrijmanstraat 261,apartment
1958,66,http://www.funda.nl/koop/amsterdam/appartement-85259036-senefelderstraat-15-2/,260.0,2,1097 CW,3,Senefelderstraat 15 2,apartment
1750,109,http://www.funda.nl/koop/amsterdam/appartement-49749030-herengracht-155-d-pp/,669.0,2,1015 BH,3,Herengracht 155 D +PP,apartment
1750,128,http://www.funda.nl/koop/amsterdam/appartement-49747555-keizersgracht-536-bv/,1.15,2,1017 EK,3,Keizersgracht 536 -bv,apartment
1963,42,http://www.funda.nl/koop/amsterdam/appartement-49896443-nicolaas-anslijnstraat-104-c/,131.0,1,1068 WT,2,Nicolaas Anslijnstraat 104 -C,apartment
1950,82,http://www.funda.nl/koop/amsterdam/appartement-49746483-middenweg-113-a4/,395.0,2,1098 AJ,3,Middenweg 113 A4,apartment
1890,31,http://www.funda.nl/koop/amsterdam/appartement-49747907-fokke-simonszstraat-34-ii/,215.0,1,1017 TH,2,Fokke Simonszstraat 34 II,apartment
1775,198,http://www.funda.nl/koop/amsterdam/appartement-49855420-herengracht-449/,1.995,5,1017 BR,8,Herengracht 449,apartment
1602,85,http://www.funda.nl/koop/amsterdam/appartement-49744680-spuistraat-253-1/,485.0,1,1012 VR,1,Spuistraat 253 -1,apartment
1991,112,http://www.funda.nl/koop/amsterdam/appartement-49861228-utrechtsedwarsstraat-88/,599.0,3,1017 WH,4,Utrechtsedwarsstraat 88,apartment
1881,67,http://www.funda.nl/koop/amsterdam/appartement-49864457-nassaukade-113-ii/,375.0,1,1052 EA,2,Nassaukade 113 -II,apartment
1930,52,http://www.funda.nl/koop/amsterdam/appartement-49878167-aalsmeerweg-81-iv/,219.0,1,1059 AE,2,Aalsmeerweg 81 IV,apartment
1906,51,http://www.funda.nl/koop/amsterdam/appartement-49869285-kanaalstraat-129-ii/,275.0,1,1054 XD,2,Kanaalstraat 129 II,apartment
1906,119,http://www.funda.nl/koop/amsterdam/appartement-49860443-overtoom-168-i-ii/,575.0,3,1054 HP,4,Overtoom 168 I+II,apartment
1735,142,http://www.funda.nl/koop/amsterdam/appartement-49877885-nieuwe-keizersgracht-41-ii/,1.1,3,1018 VC,4,Nieuwe Keizersgracht 41 II,apartment
1900,63,http://www.funda.nl/koop/amsterdam/appartement-85269692-tweede-van-der-helststraat-19-hs/,385.0,2,1073 AE,3,Tweede Van der Helststraat 19 hs,apartment
1929,183,http://www.funda.nl/koop/amsterdam/appartement-49805887-gerrit-van-der-veenstraat-49-i/,1.09,4,1077 DP,6,Gerrit van der Veenstraat 49 -I,apartment
1922,63,http://www.funda.nl/koop/amsterdam/appartement-49808520-mauvestraat-45-hs/,359.0,2,1073 RH,3,Mauvestraat 45 HS,apartment
1968,55,http://www.funda.nl/koop/amsterdam/appartement-49806118-het-laagt-94/,160.0,1,1025 GJ,2,Het Laagt 94,apartment
1922,77,http://www.funda.nl/koop/amsterdam/appartement-49806870-lumeijstraat-22-i/,325.0,2,1056 VX,3,Lumeijstraat 22 -I,apartment
1940,57,http://www.funda.nl/koop/amsterdam/appartement-49806924-theophilusstraat-14-i/,219.0,2,1055 CR,3,Theophilusstraat 14 I,apartment
1930,216,http://www.funda.nl/koop/amsterdam/appartement-49806071-quinten-massijsstraat-14-ii/,1.375,4,1077 MD,5,Quinten Massijsstraat 14 II,apartment
1952,59,http://www.funda.nl/koop/amsterdam/appartement-49808118-akbarstraat-12-d/,209.0,2,1061 DZ,3,Akbarstraat 12 D,apartment
1906,43,http://www.funda.nl/koop/amsterdam/appartement-49808834-palmstraat-28-hs/,250.0,1,1015 HS,2,Palmstraat 28 hs,apartment
1642,75,http://www.funda.nl/koop/amsterdam/appartement-49808176-nieuwe-uilenburgerstraat-7-d/,369.0,1,1011 LM,2,Nieuwe Uilenburgerstraat 7 D,apartment
1906,60,http://www.funda.nl/koop/amsterdam/appartement-49749759-tweede-atjehstraat-46-huis/,300.0,2,1094 LJ,3,Tweede Atjehstraat 46 -huis,apartment
2003,94,http://www.funda.nl/koop/amsterdam/appartement-49809421-jacques-veltmanstraat-79-pp/,299.0,1,1065 EG,3,Jacques Veltmanstraat 79 + pp,apartment
1906,91,http://www.funda.nl/koop/amsterdam/appartement-49809450-nieuwe-herengracht-31-c/,550.0,2,1011 RM,3,Nieuwe Herengracht 31 -C,apartment
1962,81,http://www.funda.nl/koop/amsterdam/appartement-49855140-hertingenstraat-10-d/,179.0,2,1069 HB,3,Hertingenstraat 10 D,apartment
1998,88,http://www.funda.nl/koop/amsterdam/appartement-49869060-ladogameerhof-136/,225.0,3,1060 RE,4,Ladogameerhof 136,apartment
1983,70,http://www.funda.nl/koop/amsterdam/appartement-49857648-poolstraat-71/,300.0,2,1018 LR,3,Poolstraat 71,apartment
1900,130,http://www.funda.nl/koop/amsterdam/appartement-49743017-domselaerstraat-23-iii/,625.0,3,1093 JM,4,Domselaerstraat 23 III,apartment
1986,85,http://www.funda.nl/koop/amsterdam/appartement-49749237-geervliet-107/,295.0,2,1082 NM,3,Geervliet 107,apartment
1905,52,http://www.funda.nl/koop/amsterdam/appartement-49860413-vrolikstraat-210-ii/,275.0,2,1092 TT,3,Vrolikstraat 210 -II,apartment
1994,87,http://www.funda.nl/koop/amsterdam/appartement-49860221-t-hol-4/,425.0,1,1012 XW,2,'t Hol 4,apartment
1906,105,http://www.funda.nl/koop/amsterdam/appartement-49713538-oudeschans-67-d/,550.0,2,1011 KW,3,Oudeschans 67 -D,apartment
1985,35,http://www.funda.nl/koop/amsterdam/appartement-49700367-haarlemmer-houttuinen-45-d/,174.0,1,1013 GM,2,Haarlemmer Houttuinen 45 D,apartment
1923,47,http://www.funda.nl/koop/amsterdam/appartement-49717476-vasco-da-gamastraat-36-l/,219.0,1,1057 VM,2,Vasco da Gamastraat 36 l,apartment
1987,84,http://www.funda.nl/koop/amsterdam/appartement-49719363-schaarsbergenstraat-92/,188.5,2,1107 JX,3,Schaarsbergenstraat 92,apartment
1903,83,http://www.funda.nl/koop/amsterdam/appartement-49863080-zeeburgerkade-62/,325.0,2,1019 HG,3,Zeeburgerkade 62,apartment
1990,78,http://www.funda.nl/koop/amsterdam/appartement-49728770-plantage-muidergracht-156/,439.0,2,1018 TW,3,Plantage Muidergracht 156,apartment
1880,44,http://www.funda.nl/koop/amsterdam/appartement-49721311-saenredamstraat-8-2/,250.0,1,1072 CE,2,Saenredamstraat 8 2,apartment
1933,57,http://www.funda.nl/koop/amsterdam/appartement-49720865-geuzenkade-50-hs/,295.0,2,1056 KM,3,Geuzenkade 50 -hs,apartment
1912,70,http://www.funda.nl/koop/amsterdam/appartement-49720827-van-beuningenstraat-207-i-ii/,325.0,2,1051 XR,3,Van Beuningenstraat 207 I+II,apartment
2009,82,http://www.funda.nl/koop/amsterdam/appartement-49722123-julius-pergerstraat-188/,225.0,2,1087 KP,3,Julius Pergerstraat 188,apartment
1929,71,http://www.funda.nl/koop/amsterdam/appartement-49736767-archimedesweg-2-i/,250.0,1,1098 JP,2,Archimedesweg 2 I,apartment
1958,61,http://www.funda.nl/koop/amsterdam/appartement-49735154-hendrik-de-bruynstraat-5-2/,160.0,2,1065 EB,3,Hendrik de Bruynstraat 5 -2,apartment
1952,43,http://www.funda.nl/koop/amsterdam/appartement-49739847-freek-oxstraat-27-ii/,150.0,1,1063 ZV,2,Freek Oxstraat 27 II,apartment
1902,67,http://www.funda.nl/koop/amsterdam/appartement-49825952-javastraat-59-e/,300.0,2,1094 HA,3,Javastraat 59 E,apartment
1930,51,http://www.funda.nl/koop/amsterdam/appartement-85277970-albert-luthulistraat-24-a/,230.0,2,1091 NV,3,Albert Luthulistraat 24 A,apartment
1897,130,http://www.funda.nl/koop/amsterdam/appartement-49814126-eerste-constantijn-huygensstraat-51-i/,777.5,3,1054 BS,4,Eerste Constantijn Huygensstraat 51 I,apartment
1976,61,http://www.funda.nl/koop/amsterdam/appartement-49814679-leerdamhof-206/,139.206,1,1108 BT,2,Leerdamhof 206,apartment
1975,67,http://www.funda.nl/koop/amsterdam/appartement-49825914-loenermark-191/,140.0,1,1025 ST,2,Loenermark 191,apartment
1933,65,http://www.funda.nl/koop/amsterdam/appartement-49825109-tweede-hugo-de-grootstraat-68-1/,290.0,1,1052 LG,2,Tweede Hugo de Grootstraat 68 1,apartment
1984,68,http://www.funda.nl/koop/amsterdam/appartement-49826106-eerste-jan-steenstraat-47-e/,319.0,1,1072 NB,2,Eerste Jan Steenstraat 47 E,apartment
1906,40,http://www.funda.nl/koop/amsterdam/appartement-49825308-lijnbaansgracht-347-huis/,249.0,1,1017 XB,2,Lijnbaansgracht 347 huis,apartment
1906,122,http://www.funda.nl/koop/amsterdam/appartement-49826172-gietersstraat-19/,650.0,2,1015 HB,3,Gietersstraat 19,apartment
1890,77,http://www.funda.nl/koop/amsterdam/appartement-49826168-derde-goudsbloemdwarsstraat-6-a/,425.0,2,1015 KA,4,Derde Goudsbloemdwarsstraat 6 a,apartment
1906,78,http://www.funda.nl/koop/amsterdam/appartement-49826606-sarphatipark-49-ii/,425.0,1,1073 CR,2,Sarphatipark 49 II,apartment
1914,191,http://www.funda.nl/koop/amsterdam/appartement-49826516-pieter-de-hoochstraat-3-bv/,1.095,4,1071 ED,6,Pieter de Hoochstraat 3 bv,apartment
1906,30,http://www.funda.nl/koop/amsterdam/appartement-49803982-nassaukade-372-3-voor/,205.0,1,1054 AC,2,Nassaukade 372 3 Voor,apartment
1906,198,http://www.funda.nl/koop/amsterdam/appartement-49804887-weteringschans-47-bv/,995.0,3,1017 RW,4,Weteringschans 47 BV,apartment
1900,238,http://www.funda.nl/koop/amsterdam/appartement-49804547-frans-van-mierisstraat-67-huis/,1.795,6,1071 RL,9,Frans van Mierisstraat 67 huis,apartment
1904,56,http://www.funda.nl/koop/amsterdam/appartement-49803369-johannes-verhulststraat-156-ii/,350.0,1,1071 NP,3,Johannes Verhulststraat 156 II,apartment
1700,142,http://www.funda.nl/koop/amsterdam/appartement-49815942-singel-112-a/,1.2,2,1015 AE,4,Singel 112 A,apartment
1925,50,http://www.funda.nl/koop/amsterdam/appartement-49803082-middenweg-538/,202.0,1,1097 VE,2,Middenweg 538,apartment
2005,279,http://www.funda.nl/koop/amsterdam/appartement-49803017-van-leijenberghlaan/,1.595,3,1082 GM,5,Van Leijenberghlaan,apartment
1931,102,http://www.funda.nl/koop/amsterdam/appartement-49815292-parnassusweg-26-2/,515.0,2,1076 AR,3,Parnassusweg 26 2,apartment
1954,54,http://www.funda.nl/koop/amsterdam/appartement-49816181-middenweg-113-i/,295.0,2,1098 AJ,3,Middenweg 113 I,apartment
1906,76,http://www.funda.nl/koop/amsterdam/appartement-49816997-laurierstraat-36-hs/,539.0,2,1016 PM,3,Laurierstraat 36 - HS,apartment
1989,70,http://www.funda.nl/koop/amsterdam/appartement-85279912-circusplein-38/,192.5,2,1033 ZG,3,Circusplein 38,apartment
1938,43,http://www.funda.nl/koop/amsterdam/appartement-49817519-govert-flinckstraat-177-i/,210.0,1,1073 BT,2,Govert Flinckstraat 177 I,apartment
1906,66,http://www.funda.nl/koop/amsterdam/appartement-49762575-eerste-oosterparkstraat-97-i/,375.0,2,1091 GW,3,Eerste Oosterparkstraat 97 -I,apartment
1912,79,http://www.funda.nl/koop/amsterdam/appartement-49769184-overtoom-548-1/,435.0,2,1054 LM,3,Overtoom 548 1,apartment
2008,81,http://www.funda.nl/koop/amsterdam/appartement-49775161-confuciusplein-57/,227.0,2,1064 LG,3,Confuciusplein 57,apartment
1998,85,http://www.funda.nl/koop/amsterdam/appartement-49763755-ladogameerhof-275/,239.0,2,1060 RG,3,Ladogameerhof 275,apartment
1977,76,http://www.funda.nl/koop/amsterdam/appartement-49778705-westerlengte-171/,180.0,2,1034 TC,3,Westerlengte 171,apartment
2005,263,http://www.funda.nl/koop/amsterdam/appartement-49769171-van-leijenberghlaan-6-z/,1.425,2,1082 GM,4,Van Leijenberghlaan 6 Z,apartment
1993,105,http://www.funda.nl/koop/amsterdam/appartement-49772781-knsm-laan-567/,475.0,2,1019 LD,3,KNSM-laan 567,apartment
1992,66,http://www.funda.nl/koop/amsterdam/appartement-49795004-barcelonaplein-67/,275.0,2,1019 LX,3,Barcelonaplein 67,apartment
1957,75,http://www.funda.nl/koop/amsterdam/appartement-49706729-max-planckstraat-7-iii/,275.0,2,1098 TR,3,Max Planckstraat 7 -III,apartment
1981,72,http://www.funda.nl/koop/amsterdam/appartement-49790217-semarangstraat-13-c/,265.0,2,1095 GA,3,Semarangstraat 13 -C,apartment
1960,83,http://www.funda.nl/koop/amsterdam/appartement-49783377-jisperveldstraat-436/,175.0,2,1024 AW,3,Jisperveldstraat 436,apartment
2013,104,http://www.funda.nl/koop/amsterdam/appartement-49789489-tweede-van-swindenstraat-168-e/,450.0,3,1093 XA,4,Tweede van Swindenstraat 168 -E,apartment
1998,110,http://www.funda.nl/koop/amsterdam/appartement-49790780-vatternkade-45-bg-i/,289.0,3,1060 PK,4,Vätternkade 45 - bg+I,apartment
1927,64,http://www.funda.nl/koop/amsterdam/appartement-49708251-wingerdweg-313/,195.0,2,1032 AK,3,Wingerdweg 313,apartment
1928,150,http://www.funda.nl/koop/amsterdam/appartement-49802084-overtoom-266-ii/,715.0,5,1054 JB,7,Overtoom 266 II,apartment
2000,112,http://www.funda.nl/koop/amsterdam/appartement-49802261-pieter-de-hoochstraat-15-a-pp/,850.0,3,1071 ED,4,Pieter de Hoochstraat 15 A + PP,apartment
1906,57,http://www.funda.nl/koop/amsterdam/appartement-49802781-vrolikstraat-303-ii/,297.0,2,1091 VD,3,Vrolikstraat 303 II,apartment
1901,121,http://www.funda.nl/koop/amsterdam/appartement-49801020-gerard-schaepstraat-4-iii/,675.0,3,1052 GL,4,Gerard Schaepstraat 4 III,apartment
1960,112,http://www.funda.nl/koop/amsterdam/appartement-49802038-sonneveld-35/,385.0,3,1082 EX,5,Sonneveld 35,apartment
1996,90,http://www.funda.nl/koop/amsterdam/appartement-49802972-ardennenlaan-149/,225.0,2,1066 SE,3,Ardennenlaan 149,apartment
1928,163,http://www.funda.nl/koop/amsterdam/appartement-49802325-stadionweg/,1.3,4,1077 TD,5,STADIONWEG,apartment
1930,61,http://www.funda.nl/koop/amsterdam/appartement-49800140-uiterwaardenstraat-30-i/,320.0,3,1079 BZ,4,Uiterwaardenstraat 30 I,apartment
1641,208,http://www.funda.nl/koop/amsterdam/appartement-49809963-baanbrugsteeg-3/,1.1,5,1013 HM,8,Baanbrugsteeg 3,apartment
1934,105,http://www.funda.nl/koop/amsterdam/appartement-85261123-president-kennedylaan-82-2/,499.0,1,1079 NG,2,President Kennedylaan 82 2,apartment
1906,150,http://www.funda.nl/koop/amsterdam/appartement-49808944-bosboom-toussaintstraat-42-iii/,1.1,4,1054 AT,5,Bosboom Toussaintstraat 42 III,apartment
1890,107,http://www.funda.nl/koop/amsterdam/appartement-49812048-vondelstraat-52-a/,690.0,2,1054 GE,3,Vondelstraat 52 A,apartment
1935,89,http://www.funda.nl/koop/amsterdam/appartement-49812476-mercatorplein-36-f/,335.0,2,1056 CL,3,Mercatorplein 36 -F,apartment
1931,64,http://www.funda.nl/koop/amsterdam/appartement-85102831-krugerstraat-33-d/,270.0,2,1091 LD,3,Krugerstraat 33 D,apartment
1923,61,http://www.funda.nl/koop/amsterdam/appartement-49870277-amsteldijk-130-i/,249.0,2,1078 RT,3,Amsteldijk 130 I,apartment
1600,125,http://www.funda.nl/koop/amsterdam/appartement-49879952-westerstraat-74/,875.0,3,1015 ML,4,Westerstraat 74,apartment
1987,57,http://www.funda.nl/koop/amsterdam/appartement-49870854-nieuwe-purmerweg-130/,159.5,1,1023 ZB,2,Nieuwe Purmerweg 130,apartment
1956,100,http://www.funda.nl/koop/amsterdam/huis-49886361-thomas-a-kempisstraat-1/,365.0,3,1064 LT,4,Thomas à Kempisstraat 1,house
1997,90,http://www.funda.nl/koop/amsterdam/appartement-85046377-bijlmerdreef-931/,197.5,3,1103 TD,4,Bijlmerdreef 931,apartment
1906,237,http://www.funda.nl/koop/amsterdam/appartement-49879664-keizersgracht-74-k/,1.495,2,1015 CT,3,Keizersgracht 74 K,apartment
2007,195,http://www.funda.nl/koop/amsterdam/appartement-49816029-ijburglaan-141-hs/,629.0,3,1086 ZJ,4,IJburglaan 141 HS,apartment
2004,90,http://www.funda.nl/koop/amsterdam/appartement-47466982-wolbrantskerkweg-104-d/,225.0,2,1069 DA,3,Wolbrantskerkweg 104 D,apartment
2001,90,http://www.funda.nl/koop/amsterdam/appartement-47451453-lambertus-zijlplein-14/,225.0,2,1067 JS,3,Lambertus Zijlplein 14,apartment
1999,83,http://www.funda.nl/koop/amsterdam/appartement-47410341-ladogameerhof-84/,215.0,2,1060 PJ,3,Ladogameerhof 84,apartment
1976,50,http://www.funda.nl/koop/amsterdam/appartement-48574678-groenhoven-120/,117.5,1,1103 LA,2,Groenhoven 120,apartment
1906,24,http://www.funda.nl/koop/amsterdam/appartement-48312140-lijnbaansgracht-14-1/,189.0,2,1015 GN,2,Lijnbaansgracht 14 1,apartment
2017,371,http://www.funda.nl/koop/amsterdam/appartement-49873331-dam-3-c/,7.9,3,1012 JS,7,Dam 3 C,apartment
2017,226,http://www.funda.nl/koop/amsterdam/appartement-49873310-dam-3-b/,2.775,2,1012 JS,4,Dam 3 B,apartment
2017,122,http://www.funda.nl/koop/amsterdam/appartement-49873306-dam-3-a/,1.145,1,1012 JS,3,Dam 3 A,apartment
2017,1,http://www.funda.nl/koop/amsterdam/appartement-49873354-dam-3-d/,24.5,7,1012 JS,15,Dam 3 D,apartment
1935,93,http://www.funda.nl/koop/amsterdam/appartement-85243044-uiterwaardenstraat-284-2/,395.0,2,1079 DA,3,Uiterwaardenstraat 284 2,apartment
1906,177,http://www.funda.nl/koop/amsterdam/appartement-49881654-warmoesstraat-10-2/,699.0,3,1012 JD,4,Warmoesstraat 10 2,apartment
1906,74,http://www.funda.nl/koop/amsterdam/appartement-49882487-prinsengracht-512-iii/,600.0,1,1017 KH,2,Prinsengracht 512 -III,apartment
1621,74,http://www.funda.nl/koop/amsterdam/appartement-85250470-keizersgracht-44-f/,499.0,1,1015 CR,2,Keizersgracht 44 F,apartment
1912,72,http://www.funda.nl/koop/amsterdam/appartement-85253199-amstelveenseweg-224-1/,350.0,2,1075 XT,4,Amstelveenseweg 224 1,apartment
2001,90,http://www.funda.nl/koop/amsterdam/appartement-49776446-jan-van-duivenvoordestraat-115/,208.0,2,1067 MT,3,Jan van Duivenvoordestraat 115,apartment
1906,259,http://www.funda.nl/koop/amsterdam/appartement-49805703-brouwersgracht-126-a/,1.275,5,1013 HA,8,Brouwersgracht 126 A,apartment
1931,120,http://www.funda.nl/koop/amsterdam/appartement-49796052-orteliusstraat-2-ii-iii/,429.5,3,1057 BA,5,Orteliusstraat 2 II-III,apartment
1910,139,http://www.funda.nl/koop/amsterdam/appartement-49805942-valeriusstraat-69-2/,955.0,3,1071 ME,4,Valeriusstraat 69 -2,apartment
1961,76,http://www.funda.nl/koop/amsterdam/appartement-49738479-eastonstraat-63/,159.0,2,1068 JB,3,Eastonstraat 63,apartment
1999,120,http://www.funda.nl/koop/amsterdam/appartement-49702680-pieter-calandlaan-466/,279.0,3,1060 TT,4,Pieter Calandlaan 466,apartment
1910,34,http://www.funda.nl/koop/amsterdam/appartement-49734429-pretoriusstraat-15-ii-a/,189.0,1,1092 EW,2,Pretoriusstraat 15 -II A,apartment
1962,81,http://www.funda.nl/koop/amsterdam/appartement-49739449-ekingenstraat-166/,175.0,2,1069 GZ,3,Ekingenstraat 166,apartment
1906,40,http://www.funda.nl/koop/amsterdam/appartement-49855197-goudsbloemstraat-106-hs/,229.0,1,1015 JS,2,Goudsbloemstraat 106 hs,apartment
1906,110,http://www.funda.nl/koop/amsterdam/appartement-49806163-vondelstraat-95-hs/,1.295,2,1054 GM,3,Vondelstraat 95 HS,apartment
1930,138,http://www.funda.nl/koop/amsterdam/appartement-85261122-van-rensselaerstraat-37-3/,619.0,3,1058 XR,4,Van Rensselaerstraat 37 3,apartment
2004,90,http://www.funda.nl/koop/amsterdam/appartement-49861567-waterlooplein-177-c/,499.0,2,1011 PG,3,Waterlooplein 177 C,apartment
1888,32,http://www.funda.nl/koop/amsterdam/appartement-49873685-bilderdijkstraat-216-i/,185.0,1,1053 LG,1,Bilderdijkstraat 216 I,apartment
1906,71,http://www.funda.nl/koop/amsterdam/appartement-49807380-sint-jacobsstraat-12-i/,400.0,1,1012 NC,2,Sint Jacobsstraat 12 - I,apartment
